County,Site,LabSampleNum,WRIANumber,CollectDate,Parameter,Toxin Concentration (µg/L),MDL (µg/L),ExceedInd,ScumInd,Location,ClientLocator,SiteID
King,Hidden Lake Beach,L77739-7,8,09/13/2021,Anatoxin-a,<MDL,0.010,No,Yes,South end of lake,0207KING193_21_361,193
King,Hidden Lake Beach,L77739-7,8,09/13/2021,Microcystin,<MDL,0.150,No,Yes,South end of lake,0207KING193_21_361,193
King,Hidden Lake Beach,L77685-3,8,09/07/2021,Anatoxin-a,<MDL,0.010,No,Yes,Swim beach,0207KING193_21_329,193
King,Hidden Lake Beach,L77685-3,8,09/07/2021,Microcystin,<MDL,0.150,No,Yes,Swim beach,0207KING193_21_329,193
King,Hidden Lake Beach,L77568-1,8,08/16/2021,Anatoxin-a,<MDL,0.010,No,Yes,Near shore,0207KING193_21_235,193
King,Hidden Lake Beach,L77568-1,8,08/16/2021,Microcystin,<MDL,0.150,No,Yes,Near shore,0207KING193_21_235,193
King,Hidden Lake Beach,L77472-1,8,08/02/2021,Anatoxin-a,<MDL,0.010,No,Yes,NW SHORE,0207KING193_21_180,193
King,Hidden Lake Beach,L77472-1,8,08/02/2021,Microcystin,<MDL,0.150,No,Yes,NW SHORE,0207KING193_21_180,193
King,Idylwood Beach,L81722-14,8,05/31/2023,Anatoxin-a,<MDL,0.165,No,No,,,194
King,Idylwood Beach,L80390-10,8,10/24/2022,Anatoxin-a,<MDL,0.165,No,No,,,194
King,Idylwood Beach,L80390-10,8,10/24/2022,Microcystin,<MDL,0.150,No,No,,,194
King,Idylwood Beach,L80349-10,8,10/17/2022,Anatoxin-a,<MDL,0.165,No,No,,,194
King,Idylwood Beach,L80349-10,8,10/17/2022,Microcystin,<MDL,0.150,No,No,,,194
King,Idylwood Beach,L80294-10,8,10/11/2022,Anatoxin-a,<MDL,0.165,No,No,,,194
King,Idylwood Beach,L80294-10,8,10/11/2022,Microcystin,<MDL,0.150,No,No,,,194
King,Idylwood Beach,L80236-10,8,10/03/2022,Anatoxin-a,<MDL,0.165,No,No,,,194
King,Idylwood Beach,L80236-10,8,10/03/2022,Microcystin,<MDL,0.150,No,No,,,194
King,Idylwood Beach,L80172-10,8,09/26/2022,Anatoxin-a,<MDL,0.165,No,No,,,194
King,Idylwood Beach,L80172-10,8,09/26/2022,Microcystin,<MDL,0.150,No,No,,,194
